2023-06-21 19:20:05,901 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49322), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1687364405.9007764, 'user': {'account_name': 'Guest'}}), {} from the function main
2023-06-21 19:20:06,908 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49322), raddr=('127.0.0.1', 7777)>,), {} from the function main
2023-06-21 19:20:06,908 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-21 19:20:06,908 DEBUG      A function proc_response_serv_ans was called with parameters ({'response': 200},), {} from the function main
2023-06-21 19:20:06,909 INFO       sending message 200 : OK from server to client
2023-06-21 19:23:01,738 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-21 19:23:01,739 INFO       started client socket with parameters: addres server127.0.0.1, port 7777, working mode send
2023-06-21 20:09:03,113 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-21 20:09:05,729 INFO       started client socket with parameters: addres server127.0.0.1, port 7777, working mode 2
2023-06-21 20:09:05,730 INFO       server connection established
2023-06-21 20:09:05,730 DEBUG      generated message 'presence' for user 2
2023-06-21 20:09:05,730 DEBUG      A function create_presence was called with parameters ('2',), {} from the function main
2023-06-21 20:09:05,730 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 33496), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1687367345.730154, 'user': {'account_name': '2'}}), {} from the function main
2023-06-21 20:09:06,732 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 33496), raddr=('127.0.0.1', 7777)>,), {} from the function main
2023-06-21 20:09:06,732 DEBUG      generated hello_message from the server: {'response': 400, 'error': 'Name already in use'}
2023-06-21 20:09:06,733 ERROR      invalid message received from client
2023-06-21 20:13:31,775 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-21 20:13:35,024 DEBUG      A function arg_parser was called with parameters (), {} from the function main
